OCHA_VNAME,VDC_CODE,VDC_NAME
Nerpa,524 1 03 12 5 027,Nerpa
Nirmalidada,524 1 03 12 5 029,Nirmaledadha
Nunthala,524 1 03 12 5 005,Nunthala
Woplukha,524 1 03 12 5 067,Oplukha
Patheka,524 1 03 12 5 026,Patheka
Pauwasera,524 1 03 12 5 073,Pauwashera
Faktang,524 1 03 12 5 074,Phastang
Phedi,524 1 03 12 5 013,Phedi
Rajapani,524 1 03 12 5 048,Rajapani
RakhaBangdel,524 1 03 12 5 023,Rakhawagndel
RatanchaMajhagau,524 1 03 12 5 031,Ratamchha Maajhgaun
RakhaDipsung,524 1 03 12 5 014,Rawadipsung
Ribdungjaleswor,524 1 03 12 5 024,Ribdungjaleshwori
R.Maheswori,524 1 03 12 5 025,Ribdungmaheshwori
Salle,524 1 03 12 5 006,Salle
Sa.Chhitapokhari,524 1 03 12 5 059,Satyashwor Chittapokhari
Saunechaur,524 1 03 12 5 075,Saunechaur
Sawakatahare,524 1 03 12 5 068,Sawakatahare
Sapteswor,524 1 03 12 5 015,Shapteshwor
Simpani,524 1 03 12 5 060,Simpani
Sungdel,524 1 03 12 5 016,Sungdel
Suntale,524 1 03 12 5 076,Suntale
Temma,524 1 03 12 5 050,Temma
Wopung,524 1 03 12 5 062,Wopung
Yamkha,524 1 03 12 5 049,Yamkha
Baksa,524 1 03 13 5 029,Baksha
Balakhu,524 1 03 13 5 041,Balakhu
Barnalu,524 1 03 13 5 001,Barnalu
Baruneshwor,524 1 03 13 5 015,Barudeshwor
Betini,524 1 03 13 5 032,Betini
Bhadaure,524 1 03 13 5 012,Bhadaure
Bhussinga,524 1 03 13 5 023,Bhushanga
Bigutar,524 1 03 13 5 016,Bigutar
Bilandu,524 1 03 13 5 042,Bilandu
Chyanam,524 1 03 13 5 040,Chyanam
Diyale,524 1 03 13 5 006,Diyale
Gamnangtar,524 1 03 13 5 047,Gamnangtar
Harkapur,524 1 03 13 5 020,Harkapur
Jantarkhani,524 1 03 13 5 017,Jantarkhani
Jyamire,524 1 03 13 5 002,Jyamere
Kalikadevi,524 1 03 13 5 043,Kalikadevi
Katunje,524 1 03 13 5 038,Katunje
Ketuke,524 1 03 13 5 056,Ketuke
KhijiChandeshwori.,524 1 03 13 5 025,Khijichandeshwori
Khijifalate,524 1 03 13 5 024,Khijiflate
Kaptigaun(Khigikati),524 1 03 13 5 055,Khijikaanthi
Kuibhir,524 1 03 13 5 007,Kuebhire
Kuntadevi,524 1 03 13 5 018,Kuntadevi
Madhavpur,524 1 03 13 5 033,Madhabpur
Mamkha,524 1 03 13 5 008,Mamkha
Manebhanjyang,524 1 03 13 5 034,Manebhanjyang
Moli,524 1 03 13 5 030,Moli
Mulkharka,524 1 03 13 5 039,Mulkharka
Andheri(Narayansthan),524 1 03 13 5 054,Narayansthan
Narmedeshwor,524 1 03 13 5 048,Narmadeshwor
Okhaldhunga,524 1 03 13 5 003,Okhaldhunga
Palapu,524 1 03 13 5 044,Palapu
Palte,524 1 03 13 5 028,Patale
Fediguth,524 1 03 13 5 045,Phedighooth
Fulbari,524 1 03 13 5 046,Phulbari
Pokali,524 1 03 13 5 053,Pokali
Pokhare,524 1 03 13 5 009,Pokhare
Prapcha,524 1 03 13 5 021,Prapcha
Ragadeep,524 1 03 13 5 019,Ragadeep
Ragani,524 1 03 13 5 026,Ragani
Raniban,524 1 03 13 5 049,Ranibaan
Ratmata,524 1 03 13 5 010,Ratmate
Rawadolu,524 1 03 13 5 027,Rawadol
Rumjatar,524 1 03 13 5 004,Rumjatar
Salleri,524 1 03 13 5 005,Sallere
Serna,524 1 03 13 5 011,Sherma
Sisneri,524 1 03 13 5 037,Shishneri
Shreechaur,524 1 03 13 5 022,Shrichaor
Singhadevi,524 1 03 13 5 050,Singhadevi
Tarkerabari,524 1 03 13 5 051,Tarkerabari
Thakle,524 1 03 13 5 035,Thakle
Thulachhap,524 1 03 13 5 014,Thulachaap
Thoksel,524 1 03 13 5 036,Tokshel
Taluwa,524 1 03 13 5 013,Tuluwa
Ubu,524 1 03 13 5 031,Ubu
Yasam,524 1 03 13 5 052,Yesham
Aaptar,524 1 03 14 5 015,Aaptar
Balamta,524 1 03 14 5 034,Balamta
Baraha,524 1 03 14 5 035,Baraha
Barai,524 1 03 14 5 028,Bare
Bashaha,524 1 03 14 5 009,Bashaha
Basabote,524 1 03 14 5 036,Bashbote
Valayadanda,524 1 03 14 5 040,Bhalayedadha
Bhuttar,524 1 03 14 5 042,Bhutar
Chaudandi,524 1 03 14 5 005,Chaudandi
Dumre,524 1 03 14 5 018,Dumbre
Iname,524 1 03 14 5 029,Enamea
Hadiya,524 1 03 14 5 006,Hadiya
Hardeni,524 1 03 14 5 023,Hardeni
Jante,524 1 03 14 5 043,Jaate
Jalpachilaune,524 1 03 14 5 014,Jalapa Chilauni
Jogidaha,524 1 03 14 5 001,Jogidaha
Katari,524 1 03 14 5 019,Katari
Katunjebawala,524 1 03 14 5 010,Katunjebabala
Khanbu,524 1 03 14 5 002,Khaabu
Koshi Tappu Wildlife Reserve,524 1 03 14 9 001,Koshi Tappu Wildlife Reserve
Laphagau,524 1 03 14 5 016,Lafagaun
Lekhani,524 1 03 14 5 024,Lekhani
Lekhgau,524 1 03 14 5 030,Lekhgaun
Limpatar,524 1 03 14 5 031,Limpatar
Mainamiani,524 1 03 14 5 011,Mainamaine
Yayankhu,524 1 03 14 5 025,Mayakhu
Nametar,524 1 03 14 5 044,Nametar
Okhale,524 1 03 14 5 032,Okhale
Pachchawati,524 1 03 14 5 020,Panchabatti
Pokhari,524 1 03 14 5 017,Pokhari
Rauta,524 1 03 14 5 041,Rauta
Risku,524 1 03 14 5 021,Rishku
Rupatar,524 1 03 14 5 037,Rupatar
Saune,524 1 03 14 5 003,Saune
Sidhdipur,524 1 03 14 5 007,Shiddhipur
Sirise,524 1 03 14 5 026,Shirishea
ShorungChabise,524 1 03 14 5 027,Shorung
Sundarpur,524 1 03 14 5 008,Sundarpur
Tawashree,524 1 03 14 5 033,Tabashree
Tamlida,524 1 03 14 5 038,Tamlichha
Tapeswori,524 1 03 14 5 012,Tapeshworibelahi
Thanagau,524 1 03 14 5 039,Thanagaun
Thoksila,524 1 03 14 5 013,Thockshila
Tribeni,524 1 03 14 5 022,Tribeni
Triyuga N.P.,524 1 03 14 3 001,Triyuga Municipality
Beltar,524 1 03 14 5 004,Weltar
Arnaha,524 1 03 15 5 065,Aarnaha
Aurahi,524 1 03 15 5 085,Aurahi
Badgama,524 1 03 15 5 001,Badgama
Bairawa,524 1 03 15 5 002,Bairawa
Bakdhauwa,524 1 03 15 5 013,Bakdhuwa
Banarjhula,524 1 03 15 5 089,Banarjhula
Banaula,524 1 03 15 5 066,Banaula
Banauli,524 1 03 15 5 067,Banaule
Banainiya,524 1 03 15 5 068,Banauniya
Baramjhiya,524 1 03 15 5 003,Baramjhiya
Bodebarsaien,524 1 03 15 5 103,Barashine (Bode)
Barsain(Ko.),524 1 03 15 5 030,Barsain(Ko.)
Basbiti,524 1 03 15 5 058,Basbitti
Bathanaha,524 1 03 15 5 031,Bathanaha
Bamangamakatti,524 1 03 15 5 029,Bavangama Katti
Bhagawatpur,524 1 03 15 5 042,Bhagawatpur
Bhangaha,524 1 03 15 5 076,Bhangaha
Bhardaha,524 1 03 15 5 018,Bhardaha
Brahmapur,524 1 03 15 5 070,Bhramhapur
Bhutahi,524 1 03 15 5 084,Bhutahi
BirpurBarahi,524 1 03 15 5 047,Birpur
Bishahariya,524 1 03 15 5 033,Bishahariya
Boriya,524 1 03 15 5 048,Boriya
Chhinnamasta,524 1 03 15 5 049,Chhinamasta
Dadha,524 1 03 15 5 043,Dadha
Daulatpur,524 1 03 15 5 090,Daulatpur
Diman,524 1 03 15 5 014,Demon
Deuri,524 1 03 15 5 109,Deuri
Deurimaruwa,524 1 03 15 5 032,Deuri Bharuwa
Dhanagadi,524 1 03 15 5 102,Dhangadhi
Dharampur,524 1 03 15 5 004,Dharampur
Dhodhanpur,524 1 03 15 5 005,Dhodhanpur
Didhawa,524 1 03 15 5 050,Didhuwa
Inarwa,524 1 03 15 5 045,Enarwa
GamhariyaParwaha,524 1 03 15 5 074,Gamariya Parawaha
GobarGada,524 1 03 15 5 019,Gobargada
Goithi,524 1 03 15 5 044,Goethi
Hanumannagar,524 1 03 15 5 020,Hanumannagar
Hardiya,524 1 03 15 5 091,Hardiya
Hariharpur,524 1 03 15 5 025,Hariharpur
Haripur,524 1 03 15 5 092,Haripur
InarwaFulpariya,524 1 03 15 5 077,Inarwaphulwariya
ItahariBishnupur,524 1 03 15 5 051,Itahari Bihsnupura
Jagatpur,524 1 03 15 5 006,Jagatpur
Jamunimadhepura,524 1 03 15 5 052,Jamuni Madhepura
Jandaul,524 1 03 15 5 026,Jandoul
Jhutaki,524 1 03 15 5 071,Jhutki
Joginiya-1,524 1 03 15 5 046,Joginiya-1
Joginiya-2,524 1 03 15 5 021,Joginiya-2
Kachan,524 1 03 15 5 110,Kachan
Kalyanpur,524 1 03 15 5 078,Kalyanpur
Kamalpur,524 1 03 15 5 007,Kamalpur
Kanchanpur,524 1 03 15 5 008,Kanchanpur
Kataiya,524 1 03 15 5 059,Kataiya
Khadgapur,524 1 03 15 5 086,Khadakpur
Khojpur,524 1 03 15 5 093,Khojpur
Khoksarparbaha,524 1 03 15 5 062,Khoksarparwaha
Kochabakhari,524 1 03 15 5 053,Kochabakhari
Koiladi,524 1 03 15 5 034,Koeladi
Ko.Madhepura,524 1 03 15 5 036,Komadhepura
Koshi Tappu Wildlife Reserve,524 1 03 15 9 001,Koshi Tappu Wildlife Reserve
Kushaha,524 1 03 15 5 094,Kushaha
Lalapati,524 1 03 15 5 054,Lalapatthi
Launiya,524 1 03 15 5 035,Launiya
Lohajara,524 1 03 15 5 015,Lohajara
Madhupati,524 1 03 15 5 095,Madhupatti
Kabilash,524 1 03 15 5 072,Madhupur (Kabilash)
Madhawapur,524 1 03 15 5 022,Madhuwapur
Mahadeva,524 1 03 15 5 037,Mahadewa
Mainasahasrabahu,524 1 03 15 5 079,Maina Sahashrawahu
Malhanama,524 1 03 15 5 096,Malahanama
Malhaniya,524 1 03 15 5 097,Malahaniya
Maleth,524 1 03 15 5 055,Maleth
Malekpur,524 1 03 15 5 056,Malikpur
Manraja,524 1 03 15 5 112,Manraja
Mauwaha,524 1 03 15 5 111,Mauwaha
Mainakaderi,524 1 03 15 5 016,Menakadari
Mohanpur,524 1 03 15 5 080,Mohanpur
Rayapur,524 1 03 15 5 060,Nakati Rayapur
Nardho,524 1 03 15 5 073,Nargho
Basbalpur,524 1 03 15 5 081,Nawarajpur (Basawalpur)
Negada,524 1 03 15 5 107,Nengada
Odraha,524 1 03 15 5 009,Odraha
Pakari,524 1 03 15 5 039,Pakari
Pansera,524 1 03 15 5 098,Pansera
Prasabani,524 1 03 15 5 027,Parashbani
Paterwa,524 1 03 15 5 099,Paterwa
Pato,524 1 03 15 5 087,Pato
Patthargada,524 1 03 15 5 075,Patthargada
Portaha,524 1 03 15 5 023,Paurataha
Fakira,524 1 03 15 5 063,Phakira
Farseth,524 1 03 15 5 057,Pharsheeth
Fatepur,524 1 03 15 5 010,Phattehapur
Fulkahi,524 1 03 15 5 104,Phulkahi
Pipra(West),524 1 03 15 5 100,Pipra (Paschim)
Pipra(Purba),524 1 03 15 5 011,Pipra (Purba)
Rajbiraj N.P.,524 1 03 15 3 001,Rajbiraj Municipality
Ramnagar,524 1 03 15 5 113,Ramnagar
Rampurjamuwa,524 1 03 15 5 082,Rampur Jamuwa
Rampuramalhaniya,524 1 03 15 5 038,Rampur Malhaniya
Rautahat,524 1 03 15 5 114,Rautahat
Rupnagar,524 1 03 15 5 012,Roopnagar
Sankarpura,524 1 03 15 5 040,Sakarpura
Saraswor,524 1 03 15 5 105,Sarashwor
Sambhunath,524 1 03 15 5 083,Shambhunath
SimrahaSigiyoun,524 1 03 15 5 064,Shimarahasigyaun
SiswaBeihi,524 1 03 15 5 106,Shishwa
Sitapur,524 1 03 15 5 028,Sitapur
Tarahi,524 1 03 15 5 088,Tarahi
Terahota,524 1 03 15 5 061,Terahota
Theliya,524 1 03 15 5 017,Theleya
Tikuliya,524 1 03 15 5 101,Tikuliya
Tilathi,524 1 03 15 5 041,Tilathi
Trikola,524 1 03 15 5 024,Trikaul
Belhi,524 1 03 15 5 108,Welhe
Belhichapena,524 1 03 15 5 069,Welhe Chapena
Arnamalalpur,524 1 03 16 5 043,Aarnama
Arnamarampur,524 1 03 16 5 098,Arnama Rampur
AshokpurBalkawa,524 1 03 16 5 080,Ashokpur Wolkawa
Asanpur,524 1 03 16 5 060,Ashonpur
Aurahi,524 1 03 16 5 044,Aurahi
Ayodhyanagar,524 1 03 16 5 058,Ayoudhanagar
Badharamal,524 1 03 16 5 085,Badahara Michaiyamal
Barchhawa,524 1 03 16 5 084,Barchawa
Bariyarpatti,524 1 03 16 5 037,Bariyarpatti
Bastipur,524 1 03 16 5 001,Bashtipur
Belaha,524 1 03 16 5 076,Belaha
Belhi,524 1 03 16 5 053,Bellhi
Betauna,524 1 03 16 5 061,Betauna
Bhadaiya,524 1 03 16 5 002,Bhadaiya
Bhaganpur,524 1 03 16 5 010,Bhagwanpur
Bhagawatipur,524 1 03 16 5 011,Bhagwatipur
Bhawanipur,524 1 03 16 5 020,Bhawanipur
BhawanpurKalabanzar,524 1 03 16 5 003,Bhawanipurkalabanjar
Media,524 1 03 16 5 099,Bhediya
Bhokraha,524 1 03 16 5 100,Bhotraha
Brahmagaughadi,524 1 03 16 5 004,Bhramhamangorchhari
Vidhyanagar,524 1 03 16 5 038,Bidhanagar
BishnupurPra.Ra,524 1 03 16 5 106,Bishnupur Rampurwa
Bishnupurkatti,524 1 03 16 5 021,Bishnupurkatti
BishnupurPra.Ma.,524 1 03 16 5 077,Bishnupurmahishoth
Chandralalpur,524 1 03 16 5 082,Chandra Lalpur
ChandraAyodhyapur,524 1 03 16 5 081,Chandrayodhyapur
Chandrodayapur,524 1 03 16 5 083,Chandrodayapur
Chatari,524 1 03 16 5 101,Chatari
Chikana,524 1 03 16 5 102,Chikna
Devipur,524 1 03 16 5 069,Devipur
Dhangadi,524 1 03 16 5 022,Dhangadhi
Dhodhana,524 1 03 16 5 005,Dhodna
Dumari,524 1 03 16 5 086,Dumari
Durgapur,524 1 03 16 5 054,Durgapur
Gadha,524 1 03 16 5 006,Gadha
Jamadaha,524 1 03 16 5 062,Gamadaha
Gauripur,524 1 03 16 5 046,Gauripur
Gautari,524 1 03 16 5 087,Gautadi
GovindpurTaregana,524 1 03 16 5 007,Gobinapur Taregana
GovindapurMalahanama,524 1 03 16 5 031,Govindapur Malahaniya
Hakpara,524 1 03 16 5 047,Hakpara
Hanumannagar(Pra.Dha.),524 1 03 16 5 066,Hanumannagar (Pra.Dha.)
Hanumannagar(Pra.Ma.),524 1 03 16 5 024,Hanumannagar (Pra.Ma.)
Harakatti,524 1 03 16 5 048,Harkatti
Inarwa,524 1 03 16 5 012,Inarwa
ItariParsahi,524 1 03 16 5 103,Itari Parsahi
Itarhawa,524 1 03 16 5 013,Itarwa
Itatar,524 1 03 16 5 049,Itatar
Janakinagar,524 1 03 16 5 039,Janakinagar
Jighaul,524 1 03 16 5 036,Jijhaul
Kabilasi,524 1 03 16 5 055,Kabilashi
Kachanari,524 1 03 16 5 040,Kachanari
Kalyanpurkalabanzar,524 1 03 16 5 088,Kalabanzaar
KalyanpurJabadi,524 1 03 16 5 104,Kalyanpur Jaabdi
Karjanha,524 1 03 16 5 089,Karjanha
Khirauna,524 1 03 16 5 073,Khirauna
Kharukyanhi,524 1 03 16 5 025,Khurkiyahi
KrishnapurBirta,524 1 03 16 5 050,Krishnapur
Kushahalaxininiya,524 1 03 16 5 041,Kushahallaxminiya
LagadiGadiyani,524 1 03 16 5 045,Lagadi Gadhiyani
Lagadigodh,524 1 03 16 5 065,Lagadigoath
Lahan N.P.,524 1 03 16 3 002,Lahan Municipality
Lalpur,524 1 03 16 5 063,Lalpur
Laxminiya,524 1 03 16 5 068,Laxminiya
LaxmipurPatari,524 1 03 16 5 026,Laxmipur (Patari)
Laxmipur(Pra.Ma.),524 1 03 16 5 075,Laxmipur (Pra.Ma.)
Madar,524 1 03 16 5 070,Madar
MahadewaPortaha,524 1 03 16 5 016,Mahadewa Portaha
Mahanaur,524 1 03 16 5 064,Mahanaur
MaheshpurGamharia,524 1 03 16 5 090,Maheshpur Gamahariya 
MaheshpurPatari,524 1 03 16 5 023,Maheshpur Pattar
Majhauliya,524 1 03 16 5 105,Majhauliya
Majhaura,524 1 03 16 5 033,Majhura
MalhaniyaGamharia,524 1 03 16 5 071,Malahaniya Gamariya
Malhaniyakhori,524 1 03 16 5 091,Malhaniya Khori
Mauwahi,524 1 03 16 5 034,Mauwahi
MohanpurKamalpur,524 1 03 16 5 027,Mohanpur Kamalpur
Muksar,524 1 03 16 5 030,Mukashar
NarahaBalkawa,524 1 03 16 5 078,Naraha Wolkawa
NaharaRigoul,524 1 03 16 5 015,Naraharigol (Gamahariya)
Navarajpur,524 1 03 16 5 035,Nawarajpur
PadariyaTharutol,524 1 03 16 5 008,Pathariyatharutole
FulkahaKati,524 1 03 16 5 059,Phulkaha Patti
Fulbariya,524 1 03 16 5 092,Phulwariya
PipraPra.Pi,524 1 03 16 5 028,Pipra
PipraPra.Dha,524 1 03 16 5 051,Pipra (Dhanawar)
Pokharbhinda,524 1 03 16 5 029,Pokharbhinda
Radhopur,524 1 03 16 5 093,Radhapur
Rajpur,524 1 03 16 5 067,Rajpur
RamnagarMirchaiya,524 1 03 16 5 094,Ramnagar Michaiya
RampurBirta,524 1 03 16 5 095,Rampur Birta
Sakhuwanankarkatti,524 1 03 16 5 017,Sakhuwa Nankarkatti
Sanhaitha,524 1 03 16 5 052,Sanaitha
Sarswar,524 1 03 16 5 072,Sarswor
SilorbaPachhawari,524 1 03 16 5 056,Shilorwa
Sisawani,524 1 03 16 5 032,Shishbani
Sukhipur,524 1 03 16 5 057,Shukhipur
Siraha N.P.,524 1 03 16 3 001,Siraha Municipality
SitapurPra.Da.,524 1 03 16 5 097,Sitapur (Pra.Da.)
SitapurPra.Ra.,524 1 03 16 5 014,Sitapur (Pra.Ra.)
Sikron,524 1 03 16 5 096,Sitron
SonmatiMajhaura,524 1 03 16 5 009,Sonmati
Sothiyan,524 1 03 16 5 018,Sothiyan
Sukhachina,524 1 03 16 5 074,Sukhchaina
Tenuwapatti,524 1 03 16 5 042,Tenuwapatti
ThalahaKataha,524 1 03 16 5 079,Thalaha Kataha
Tulsipur,524 1 03 16 5 019,Tulshipur
Yadukush,524 2 04 17 5 006,Adhukuha
Ekarahi,524 2 04 17 5 021,Akrahi
Andupatti,524 2 04 17 5 059,Andupatti
Aurahi,524 2 04 17 5 039,Aurahi
Bagchaura,524 2 04 17 5 060,Baghchauda
BahedaBala,524 2 04 17 5 073,Bahedabela
Bahuarba,524 2 04 17 5 069,Bahuarwa
Balabakhar,524 2 04 17 5 003,Balabakhar
Ballagoth,524 2 04 17 5 016,Balahagoth
BalahaKathal,524 2 04 17 5 017,Balahakathal
BalahaSadhara,524 2 04 17 5 013,Balahasaghara
Baniniya,524 2 04 17 5 088,Baniniya
Bafai,524 2 04 17 5 038,Baphai
Baramajhiya,524 2 04 17 5 028,Baramajhiya
Basahiya,524 2 04 17 5 080,Basahiya
Basbitti,524 2 04 17 5 082,Basbitti
Bateswor,524 2 04 17 5 094,Bateshwar
BegaShivapur,524 2 04 17 5 084,Benga Shivapur
Begadawar,524 2 04 17 5 097,Bengadawar
Bharatpur,524 2 04 17 5 027,Bharatpur
Bhuchakrapur,524 2 04 17 5 092,Bhuchakrapur
Bhutahipaterwa,524 2 04 17 5 051,Bhutahi Paterwa
Bindhi,524 2 04 17 5 081,Binhi
Bisarbhora,524 2 04 17 5 008,Bisarmhora
Chakkar,524 2 04 17 5 037,Chakkar
ChoraKoilpur,524 2 04 17 5 004,Chorakoyalpur
DeuriParbaha,524 2 04 17 5 040,Deuriparbaha
Debadiha,524 2 04 17 5 076,Devdiha
DevpuraRupetha,524 2 04 17 5 079,Devpura Rupaitha
Dhabouli,524 2 04 17 5 007,Dhabauli
Dhalkebar,524 2 04 17 5 096,Dhalkebar
Dhanauji,524 2 04 17 5 043,Dhanauji
D.Govindapur,524 2 04 17 5 050,Dhanusha Govindapur
Dhanusadham,524 2 04 17 5 049,Dhanushadham
Digambarpur,524 2 04 17 5 101,Digambarpur
Duhabi,524 2 04 17 5 045,Duhawe
DubarikotHathalekha,524 2 04 17 5 011,Duwarkot Hatletawa
Ghodghans,524 2 04 17 5 078,Ghodghas
Siddha,524 2 04 17 5 023,Giddha
Gopalpur,524 2 04 17 5 052,Gopalpur
GothKohelpur,524 2 04 17 5 005,Gothkoyalpur
HansapurKathpula,524 2 04 17 5 058,Hansapur Kathpulla
Hariharpur,524 2 04 17 5 100,Hariharpur
Harine,524 2 04 17 5 009,Harine
Hathipurharbara,524 2 04 17 5 024,Hathipur Harbara
Inarwa,524 2 04 17 5 014,Inarwa
Itaharwa,524 2 04 17 5 044,Itaharwa
Janakpur N.P.,524 2 04 17 3 001,Janakpur Municipality
Jhatiyahi,524 2 04 17 5 046,Jhatiyahi
JhojhiKataiya,524 2 04 17 5 041,Jhojhi Kataiya
KajaraRamaul,524 2 04 17 5 068,Kajararmaul
Kanakpatti,524 2 04 17 5 066,Kanakpatti
KhajuriChanha,524 2 04 17 5 019,Khajuri Chanha
Khariyani,524 2 04 17 5 032,Kharihani
Kurtha,524 2 04 17 5 083,Kurtha
Labatoli,524 2 04 17 5 026,Labatoli
Lagmagadhaguthi,524 2 04 17 5 075,Lagmagadha Guthi
Lakhouri,524 2 04 17 5 042,Lakhauri
Lakkad,524 2 04 17 5 012,Lakkar
Laxminiwas,524 2 04 17 5 093,Lakshminiwas
Laxmipurbagewa,524 2 04 17 5 085,Laksmipur Bagewa
Lohana,524 2 04 17 5 067,Lohana
Marchaijhitakaiya,524 2 04 17 5 020,Machi Jhitkaiya
Makhanaha,524 2 04 17 5 034,Makhanaha
Manshingpatti,524 2 04 17 5 064,Mansingpatti
Mithileswormauwahi,524 2 04 17 5 054,Mithileshwar Mauwahi
Mithileswornikas,524 2 04 17 5 053,Mithileshwar Nikas
Mukhiyapattimushargiya,524 2 04 17 5 070,Mukhiyapatti
Nagaraeen,524 2 04 17 5 074,Nagarain
Nakatajhijh,524 2 04 17 5 095,Nakatajhij
Nanupatti,524 2 04 17 5 033,Nannupatti
NauwakhorPrashahi,524 2 04 17 5 057,Nauwakhor Prasahi
Pachaharwa,524 2 04 17 5 035,Pachaharwa
Mahuwa(Pra.Ko),524 2 04 17 5 065,Pai. Ko. Mahuwa 
Paterwa,524 2 04 17 5 001,Paterwa
Patanuka,524 2 04 17 5 015,Patnuka
Paudeswor,524 2 04 17 5 063,Paudeshwar
Fulgama,524 2 04 17 5 077,Phulgama
Mahuwa(Pra.Khe),524 2 04 17 5 018,Pra. Ko. Mahuwa
Puspalpur,524 2 04 17 5 099,Pushpalpur
Raghunathpur,524 2 04 17 5 029,Raghunathpur
RamaidaiyaBhawadi,524 2 04 17 5 089,Ramdaiya
Sabela,524 2 04 17 5 030,Sabaila
SakhuwaMahendranagar,524 2 04 17 5 090,Sakhuwa Mahendranagar
Sapahi,524 2 04 17 5 087,Sapahi
Satosar,524 2 04 17 5 031,Satoshar
Shantipur,524 2 04 17 5 091,Shantipur
SingyahiMaidan,524 2 04 17 5 010,Singyahi Madan
Sinurjoda,524 2 04 17 5 086,Sinurjoda
Sonigama,524 2 04 17 5 036,Songama
SugaMadhukarahi,524 2 04 17 5 061,Sugamadhukarhi
Suganikash,524 2 04 17 5 062,Suganikas
Godar,524 2 04 17 5 025,Tallogodar
TarapattiSirsiya,524 2 04 17 5 055,Tarapatti Sirsiya
ThadiJhijha,524 2 04 17 5 022,Thadi Jhijha
KachuriThera,524 2 04 17 5 056,Therakachuri
ThillaYaduwa,524 2 04 17 5 002,Thilla Jadruwa
TulsiChauda,524 2 04 17 5 098,Tulsi
TulsiyahiNikas,524 2 04 17 5 072,Tulsiyahi Nikas
TulsiyaniJabdi,524 2 04 17 5 071,Tulsiyahijabdi
Umaprempur,524 2 04 17 5 048,Umaprempur
Yagyabhumi,524 2 04 17 5 047,Yagyabhumi
Anakar,524 2 04 18 5 043,Angkar
Aurahi,524 2 04 18 5 070,Aurahi
BairgiyaBanchauri,524 2 04 18 5 039,Badiya Banchauri
Bagada,524 2 04 18 5 014,Bagada
BairgiyaLaxminiya,524 2 04 18 5 052,Bairgiya Lakshminiya
Balawa,524 2 04 18 5 042,Balawa
BanauliDonauli,524 2 04 18 5 022,Banauli Danauli
Banouta,524 2 04 18 5 041,Banauta
Bardibas,524 2 04 18 5 007,Bardibas
Basabitti,524 2 04 18 5 050,Basabitti
Bathanaha,524 2 04 18 5 054,Bathanaha
Belgachhi,524 2 04 18 5 067,Belgachhi
Vagaha,524 2 04 18 5 008,Bhangaha
Bharatpur,524 2 04 18 5 065,Bharatpur
Bhatauliya,524 2 04 18 5 056,Bhatauliya
Bramarpura,524 2 04 18 5 023,Bhramarpura
Bijayalpura,524 2 04 18 5 004,Bijalpura
Damhimarayee,524 2 04 18 5 036,Damhimadai
Dhamaura,524 2 04 18 5 034,Dhamaura
Dharmapur,524 2 04 18 5 013,Dharmapur
Dhirapur,524 2 04 18 5 025,Dhirapur
Ekadarabela,524 2 04 18 5 057,Ekadara
Ekarahiya,524 2 04 18 5 024,Ekarahiya
GaidahaBhelpur,524 2 04 18 5 047,Gaidhabhetpur
Gauribas,524 2 04 18 5 002,Gauribas
Gaushala,524 2 04 18 5 068,Gaushala
Gonarpura,524 2 04 18 5 038,Gonarpura
Halkhori,524 2 04 18 5 059,Halkhori
HariharpurHarinamari,524 2 04 18 5 012,Hariharpur Harinamari
Hathilet,524 2 04 18 5 003,Hathilet
Hatisarwa,524 2 04 18 5 010,Hattisarwa
Etaharwakatti,524 2 04 18 5 061,Itaharwakatti
Jaleshwor N.P.,524 2 04 18 3 001,Jaleshwor Municipality
Khairbanni,524 2 04 18 5 074,Khairbani
KhayarMara,524 2 04 18 5 063,Khairmara
Khopi,524 2 04 18 5 049,Khopi
Khuttapiparadhi,524 2 04 18 5 016,Khuttapipradhi
KisanNagar,524 2 04 18 5 006,Kisannagar
KolhuwaBagaicha,524 2 04 18 5 037,Kolhuwabagaiya
Laximiniya,524 2 04 18 5 066,Lakshminiya
Loharpatti,524 2 04 18 5 015,Loharpatti
Mahadaiyatapanpur,524 2 04 18 5 011,Mahadaiyatapanpur
Mahottari,524 2 04 18 5 035,Mahottari
Maisthan,524 2 04 18 5 001,Maisthan
Manara,524 2 04 18 5 060,Manara
Matihani,524 2 04 18 5 027,Matihani
MeghanathGorahanna,524 2 04 18 5 033,Meghanath Gorhanna
MajhoraBishnupur,524 2 04 18 5 026,Mujhaura Vishnupur
Nainhi,524 2 04 18 5 044,Nainhi
Nigaul,524 2 04 18 5 071,Nigaul
Paraul,524 2 04 18 5 040,Padaul
FulahattaParikauli,524 2 04 18 5 020,Parikauli Phuhatta
ParsaDewadh,524 2 04 18 5 045,Parsadewad
ParsaPateli,524 2 04 18 5 017,Parsapataili
Pasupatinagar,524 2 04 18 5 005,Pashupatinagar (Bunarghula)
Fulakaha,524 2 04 18 5 064,Phulkaha
Pigouna,524 2 04 18 5 019,Pigauna
Pipra,524 2 04 18 5 028,Pipra
PokharibhindaSamgrampur,524 2 04 18 5 048,Pokharbhinda Sangrampur
Raghunathpur,524 2 04 18 5 073,Raghunathpur
Ramgopalpur,524 2 04 18 5 031,Ramgopalpur
Ramnagar,524 2 04 18 5 069,Ramnagar
