p_code,hlcit,vdc
C-JAN-17-066,524 2 04 17 5 034,Makhanaha
C-JAN-17-067,524 2 04 17 5 064,Mansingpatti
C-JAN-17-068,524 2 04 17 5 020,Machi Jhitkaiya
C-JAN-17-069,524 2 04 17 5 054,Mithileshwar Mauwahi
C-JAN-17-070,524 2 04 17 5 053,Mithileshwar Nikas
C-JAN-17-071,524 2 04 17 5 070,Mukhiyapatti
C-JAN-17-072,524 2 04 17 5 074,Nagarain
C-JAN-17-073,524 2 04 17 5 095,Nakatajhij
C-JAN-17-074,524 2 04 17 5 033,Nannupatti
C-JAN-17-075,524 2 04 17 5 057,Nauwakhor Prasahi
C-JAN-17-076,524 2 04 17 5 035,Pachaharwa
C-JAN-17-077,524 2 04 17 5 015,Patnuka
C-JAN-17-078,524 2 04 17 5 001,Paterwa
C-JAN-17-079,524 2 04 17 5 063,Paudeshwar
C-JAN-17-080,524 2 04 17 5 099,Pushpalpur
C-JAN-17-081,524 2 04 17 5 029,Raghunathpur
C-JAN-17-082,524 2 04 17 5 089,Ramdaiya
C-JAN-17-083,524 2 04 17 5 030,Sabaila
C-JAN-17-084,524 2 04 17 5 090,Sakhuwa Mahendranagar
C-JAN-17-085,524 2 04 17 5 087,Sapahi
C-JAN-17-086,524 2 04 17 5 031,Satoshar
C-JAN-17-087,524 2 04 17 5 091,Shantipur
C-JAN-17-088,524 2 04 17 5 023,Giddha
C-JAN-17-089,524 2 04 17 5 010,Singyahi Madan
C-JAN-17-090,524 2 04 17 5 086,Sinurjoda
C-JAN-17-091,524 2 04 17 5 036,Songama
C-JAN-17-092,524 2 04 17 5 061,Sugamadhukarhi
C-JAN-17-093,524 2 04 17 5 062,Suganikas
C-JAN-17-094,524 2 04 17 5 055,Tarapatti Sirsiya
C-JAN-17-095,524 2 04 17 5 022,Thadi Jhijha
C-JAN-17-096,524 2 04 17 5 002,Thilla Jadruwa
C-JAN-17-097,524 2 04 17 5 098,Tulsi
C-JAN-17-098,524 2 04 17 5 072,Tulsiyahi Nikas
C-JAN-17-099,524 2 04 17 5 071,Tulsiyahijabdi
C-JAN-17-100,524 2 04 17 5 048,Umaprempur
C-JAN-17-101,524 2 04 17 5 006,Adhukuha
C-JAN-17-102,524 2 04 17 5 047,Yagyabhumi
C-JAN-18-001,524 2 04 18 5 043,Angkar
C-JAN-18-002,524 2 04 18 5 070,Aurahi
C-JAN-18-003,524 2 04 18 5 014,Bagada
C-JAN-18-004,524 2 04 18 5 039,Badiya Banchauri
C-JAN-18-005,524 2 04 18 5 052,Bairgiya Lakshminiya
C-JAN-18-006,524 2 04 18 5 042,Balawa
C-JAN-18-007,524 2 04 18 5 022,Banauli Danauli
C-JAN-18-008,524 2 04 18 5 041,Banauta
C-JAN-18-009,524 2 04 18 5 007,Bardibas
C-JAN-18-010,524 2 04 18 5 050,Basabitti
C-JAN-18-011,524 2 04 18 5 054,Bathanaha
C-JAN-18-012,524 2 04 18 5 067,Belgachhi
C-JAN-18-013,524 2 04 18 5 065,Bharatpur
C-JAN-18-014,524 2 04 18 5 056,Bhatauliya
C-JAN-18-015,524 2 04 18 5 004,Bijalpura
C-JAN-18-016,524 2 04 18 5 023,Bhramarpura
C-JAN-18-017,524 2 04 18 5 036,Damhimadai
C-JAN-18-018,524 2 04 18 5 034,Dhamaura
C-JAN-18-019,524 2 04 18 5 013,Dharmapur
C-JAN-18-020,524 2 04 18 5 025,Dhirapur
C-JAN-18-021,524 2 04 18 5 057,Ekadara
C-JAN-18-022,524 2 04 18 5 024,Ekarahiya
C-JAN-18-023,524 2 04 18 5 061,Itaharwakatti
C-JAN-18-024,524 2 04 18 5 020,Parikauli Phuhatta
C-JAN-18-025,524 2 04 18 5 064,Phulkaha
C-JAN-18-026,524 2 04 18 5 047,Gaidhabhetpur
C-JAN-18-027,524 2 04 18 5 002,Gauribas
C-JAN-18-028,524 2 04 18 5 068,Gaushala
C-JAN-18-029,524 2 04 18 5 038,Gonarpura
C-JAN-18-030,524 2 04 18 5 059,Halkhori
C-JAN-18-031,524 2 04 18 5 012,Hariharpur Harinamari
C-JAN-18-032,524 2 04 18 5 003,Hathilet
C-JAN-18-033,524 2 04 18 5 010,Hattisarwa
C-JAN-18-034,524 2 04 18 3 001,Jaleshwor Municipality
C-JAN-18-035,524 2 04 18 5 074,Khairbani
C-JAN-18-036,524 2 04 18 5 063,Khairmara
C-JAN-18-037,524 2 04 18 5 049,Khopi
C-JAN-18-038,524 2 04 18 5 016,Khuttapipradhi
C-JAN-18-039,524 2 04 18 5 006,Kisannagar
C-JAN-18-040,524 2 04 18 5 037,Kolhuwabagaiya
C-JAN-18-041,524 2 04 18 5 066,Lakshminiya
C-JAN-18-042,524 2 04 18 5 015,Loharpatti
C-JAN-18-043,524 2 04 18 5 011,Mahadaiyatapanpur
C-JAN-18-044,524 2 04 18 5 035,Mahottari
C-JAN-18-045,524 2 04 18 5 001,Maisthan
C-JAN-18-046,524 2 04 18 5 026,Mujhaura Vishnupur
C-JAN-18-047,524 2 04 18 5 060,Manara
C-JAN-18-048,524 2 04 18 5 027,Matihani
C-JAN-18-049,524 2 04 18 5 033,Meghanath Gorhanna
C-JAN-18-050,524 2 04 18 5 044,Nainhi
C-JAN-18-051,524 2 04 18 5 071,Nigaul
C-JAN-18-052,524 2 04 18 5 040,Padaul
C-JAN-18-053,524 2 04 18 5 045,Parsadewad
C-JAN-18-054,524 2 04 18 5 017,Parsapataili
C-JAN-18-055,524 2 04 18 5 005,Pashupatinagar (Bunarghula)
C-JAN-18-056,524 2 04 18 5 019,Pigauna
C-JAN-18-057,524 2 04 18 5 028,Pipra
C-JAN-18-058,524 2 04 18 5 048,Pokharbhinda Sangrampur
C-JAN-18-059,524 2 04 18 5 073,Raghunathpur
C-JAN-18-060,524 2 04 18 5 031,Ramgopalpur
C-JAN-18-061,524 2 04 18 5 069,Ramnagar
C-JAN-18-062,524 2 04 18 5 029,Ratauli
C-JAN-18-063,524 2 04 18 5 051,Sahasaula
C-JAN-18-064,524 2 04 18 5 030,Sahodawa
C-JAN-18-065,524 2 04 18 5 058,Sandha
C-JAN-18-066,524 2 04 18 5 053,Sarpallo
C-JAN-18-067,524 2 04 18 5 046,Shamsi
C-JAN-18-068,524 2 04 18 5 076,Shripur
C-JAN-18-069,524 2 04 18 5 018,Simardahi
C-JAN-18-070,524 2 04 18 5 009,Singyahi
C-JAN-18-071,524 2 04 18 5 055,Sisawakataiya
C-JAN-18-072,524 2 04 18 5 072,Sonama
C-JAN-18-073,524 2 04 18 5 032,Sonamai
C-JAN-18-074,524 2 04 18 5 062,Sonaul
C-JAN-18-075,524 2 04 18 5 021,Sugabhawanipatti
C-JAN-18-076,524 2 04 18 5 075,Sundarpur
C-JAN-18-077,524 2 04 18 5 008,Bhangaha
C-JAN-19-001,524 2 04 19 5 079,Achalgadh
C-JAN-19-002,524 2 04 19 5 078,Arnaha
C-JAN-19-003,524 2 04 19 5 033,Atrauli
C-JAN-19-004,524 2 04 19 5 042,Aurahi
C-JAN-19-005,524 2 04 19 5 020,Babarganj
C-JAN-19-006,524 2 04 19 5 053,Bagdaha
C-JAN-19-007,524 2 04 19 5 065,Bahadurpur
C-JAN-19-008,524 2 04 19 5 081,Balara
C-JAN-19-009,524 2 04 19 5 074,Barhathawa
C-JAN-19-010,524 2 04 19 5 052,Baraudhoran
C-JAN-19-011,524 2 04 19 5 001,Basantapur
C-JAN-19-012,524 2 04 19 5 054,Batraul
C-JAN-19-013,524 2 04 19 5 021,Bela
C-JAN-19-014,524 2 04 19 5 068,Belhi
C-JAN-19-015,524 2 04 19 5 055,Belwajabdi
C-JAN-19-016,524 2 04 19 5 034,Bhandsar
C-JAN-19-017,524 2 04 19 5 056,Bhagawatipur
C-JAN-19-018,524 2 04 19 5 002,Bhaktipur
C-JAN-19-019,524 2 04 19 5 088,Bhawanipur
C-JAN-19-020,524 2 04 19 5 022,Bramhapuri
C-JAN-19-021,524 2 04 19 5 029,Chandranagar
C-JAN-19-022,524 2 04 19 5 089,Chhataul
C-JAN-19-023,524 2 04 19 5 082,Chhatauna
C-JAN-19-024,524 2 04 19 5 090,Dhankaul 
C-JAN-19-025,524 2 04 19 5 003,Dhankaul
C-JAN-19-026,524 2 04 19 5 069,Dhangadha
C-JAN-19-027,524 2 04 19 5 075,Dhungrekhola
C-JAN-19-028,524 2 04 19 5 027,Ghurkauli
C-JAN-19-029,524 2 04 19 5 066,Dumariya
C-JAN-19-030,524 2 04 19 5 045,Pharahadawa
C-JAN-19-031,524 2 04 19 5 060,Phulparasi
C-JAN-19-032,524 2 04 19 5 083,Gadahiya
C-JAN-19-033,524 2 04 19 5 036,Gamhariya
C-JAN-19-034,524 2 04 19 5 057,Gaudeta
C-JAN-19-035,524 2 04 19 5 004,Gaurishankar
C-JAN-19-036,524 2 04 19 5 091,Hajariya
C-JAN-19-037,524 2 04 19 5 092,Harkathawa
C-JAN-19-038,524 2 04 19 5 030,Haripur
C-JAN-19-039,524 2 04 19 5 005,Haripurwa
C-JAN-19-040,524 2 04 19 5 026,Hariban
C-JAN-19-041,524 2 04 19 5 084,Hathiaul
C-JAN-19-042,524 2 04 19 5 047,Hempur
C-JAN-19-043,524 2 04 19 5 012,Ishwarpur
C-JAN-19-044,524 2 04 19 5 015,Jabdi
C-JAN-19-045,524 2 04 19 5 048,Jamuniya
C-JAN-19-046,524 2 04 19 5 051,Janakinagar
C-JAN-19-047,524 2 04 19 5 006,Jingadawa
C-JAN-19-048,524 2 04 19 5 043,Kabilasi
C-JAN-19-049,524 2 04 19 5 017,Kalinjor
C-JAN-19-050,524 2 04 19 5 099,Karmaiya
C-JAN-19-051,524 2 04 19 5 085,Khairawa Muglaha
C-JAN-19-052,524 2 04 19 5 044,Khoriya
C-JAN-19-053,524 2 04 19 5 037,Khutauna
C-JAN-19-054,524 2 04 19 5 023,Kisanpur
C-JAN-19-055,524 2 04 19 5 038,Koudena
C-JAN-19-056,524 2 04 19 5 011,Lalbandi
C-JAN-19-057,524 2 04 19 5 070,Laukat
C-JAN-19-058,524 2 04 19 5 058,Lakshmipur Kodraha
C-JAN-19-059,524 2 04 19 5 024,Laxmipur (Pra.Ma.)
C-JAN-19-060,524 2 04 19 5 059,Madhuban
C-JAN-19-061,524 2 04 19 5 067,Madhubani
C-JAN-19-062,524 2 04 19 5 094,Mahinathpur
C-JAN-19-063,524 2 04 19 5 018,Bhelhi
C-JAN-19-064,524 2 04 19 3 001,Malangawa Municipality
C-JAN-19-065,524 2 04 19 5 095,Manpur
C-JAN-19-066,524 2 04 19 5 086,Mirjapur
C-JAN-19-067,524 2 04 19 5 025,Mohanpur
C-JAN-19-068,524 2 04 19 5 039,Motipur
C-JAN-19-069,524 2 04 19 5 076,Murtiya
C-JAN-19-070,524 2 04 19 5 035,Musaili
C-JAN-19-071,524 2 04 19 5 013,Narayankhola
C-JAN-19-072,524 2 04 19 5 007,Narayanpur
C-JAN-19-073,524 2 04 19 5 031,Netraganj
C-JAN-19-074,524 2 04 19 5 028,Naukailawa
C-JAN-19-075,524 2 04 19 5 008,Parsa
C-JAN-19-076,524 2 04 19 5 010,Parwanipur
C-JAN-19-077,524 2 04 19 5 016,Pattharkot
C-JAN-19-078,524 2 04 19 5 049,Pidari
C-JAN-19-079,524 2 04 19 5 071,Padariya
C-JAN-19-080,524 2 04 19 5 050,Pipariya
C-JAN-19-081,524 2 04 19 5 080,Rajghat
C-JAN-19-082,524 2 04 19 5 063,Ramban
C-JAN-19-083,524 2 04 19 5 096,Ramnagar Bahuarwa
C-JAN-19-084,524 2 04 19 5 014,Raniganj
C-JAN-19-085,524 2 04 19 5 064,Rohuwa
C-JAN-19-086,524 2 04 19 5 040,Satroul
C-JAN-19-087,524 2 04 19 5 046,Salempur
C-JAN-19-088,524 2 04 19 5 009,Sangrampur
C-JAN-19-089,524 2 04 19 5 077,Shankarpur
C-JAN-19-090,524 2 04 19 5 032,Sasapur
C-JAN-19-091,524 2 04 19 5 073,Shripur
C-JAN-19-092,524 2 04 19 5 093,Sisauna
C-JAN-19-093,524 2 04 19 5 041,Simara
C-JAN-19-094,524 2 04 19 5 061,Sisautiya
C-JAN-19-095,524 2 04 19 5 097,Sesauta
C-JAN-19-096,524 2 04 19 5 072,Sahodawa
C-JAN-19-097,524 2 04 19 5 087,Sudama
C-JAN-19-098,524 2 04 19 5 062,Sundarpur
C-JAN-19-099,524 2 04 19 5 098,Sundarpur Choharwa
C-JAN-19-100,524 2 04 19 5 019,Tribhuvannagar
C-JAN-20-001,524 2 04 20 5 045,Amale
C-JAN-20-002,524 2 04 20 5 007,Arunthakur
C-JAN-20-003,524 2 04 20 5 012,Bahuntilpung
C-JAN-20-004,524 2 04 20 5 028,Balajor
C-JAN-20-005,524 2 04 20 5 023,Baseshwar
C-JAN-20-006,524 2 04 20 5 046,Bastipur
C-JAN-20-007,524 2 04 20 5 029,Beldhari
C-JAN-20-008,524 2 04 20 5 034,Bhadrakali
C-JAN-20-009,524 2 04 20 5 036,Bhimeshwar
C-JAN-20-010,524 2 04 20 5 030,Bhimsthan
C-JAN-20-011,524 2 04 20 5 024,Bhuvaneshwari Gwaltar
C-JAN-20-012,524 2 04 20 5 022,Bitijor Bagaincha
C-JAN-20-013,524 2 04 20 5 037,Dandiguranse
C-JAN-20-014,524 2 04 20 5 025,Dudhbhanjyang
C-JAN-20-015,524 2 04 20 5 008,Dudhauli
C-JAN-20-016,524 2 04 20 5 039,Hariharpurgadhi
C-JAN-20-017,524 2 04 20 5 013,Harsahi
C-JAN-20-018,524 2 04 20 5 031,Hatpate
C-JAN-20-019,524 2 04 20 5 035,Jalkanyachapauli
C-JAN-20-020,524 2 04 20 5 032,Jarayotar
C-JAN-20-021,524 2 04 20 5 044,Jhangajholi Ratmata
C-JAN-20-022,524 2 04 20 5 014,Jinakhu
C-JAN-20-023,524 2 04 20 5 009,Kakur Thakur
C-JAN-20-024,524 2 04 20 5 041,Kalpabrikshya
C-JAN-20-025,524 2 04 20 3 001,Kamalami Municipality
C-JAN-20-026,524 2 04 20 5 040,Kapilakot
C-JAN-20-027,524 2 04 20 5 001,Khangsang
C-JAN-20-028,524 2 04 20 5 002,Kholagaun
C-JAN-20-029,524 2 04 20 5 050,Kusheshwar Dumja
C-JAN-20-030,524 2 04 20 5 021,Kyaneshwar
C-JAN-20-031,524 2 04 20 5 010,Mahendra Ladabhir
C-JAN-20-032,524 2 04 20 5 015,Lampantar
C-JAN-20-033,524 2 04 20 5 003,Mahadevdanda
C-JAN-20-034,524 2 04 20 5 038,Mahadevsthan
C-JAN-20-035,524 2 04 20 5 042,Mahendrajhyadi
C-JAN-20-036,524 2 04 20 5 051,Majhuwa
C-JAN-20-037,524 2 04 20 5 047,Netrakali
C-JAN-20-038,524 2 04 20 5 033,Nipane
C-JAN-20-039,524 2 04 20 5 043,Pipalmadi
C-JAN-20-040,524 2 04 20 5 052,Puranojhangajholi
C-JAN-20-041,524 2 04 20 5 019,Ranibas
C-JAN-20-042,524 2 04 20 5 020,Ranichuri
C-JAN-20-043,524 2 04 20 5 026,Ratanchur
C-JAN-20-044,524 2 04 20 5 004,Ratnawati
C-JAN-20-045,524 2 04 20 5 048,Shanteshwari Rampur
C-JAN-20-046,524 2 04 20 5 016,Sirthauli
C-JAN-20-047,524 2 04 20 5 053,Sitalpati
C-JAN-20-048,524 2 04 20 5 005,Swalpathana
C-JAN-20-049,524 2 04 20 5 006,Sumnampokhari
C-JAN-20-050,524 2 04 20 5 049,Tamajor
C-JAN-20-051,524 2 04 20 5 011,Tandi
C-JAN-20-052,524 2 04 20 5 027,Tinkanya
C-JAN-20-053,524 2 04 20 5 018,Tosarangkhola
C-JAN-20-054,524 2 04 20 5 017,Tribhuvan Ambote
C-JAN-21-001,524 2 04 21 5 018,Bamti
C-JAN-21-002,524 2 04 21 5 024,Betali
C-JAN-21-003,524 2 04 21 5 032,Bethan
C-JAN-21-004,524 2 04 21 5 044,Gagal Bhadaure
C-JAN-21-005,524 2 04 21 5 045,Bhatauli
C-JAN-21-006,524 2 04 21 5 043,Bhirpani
C-JAN-21-007,524 2 04 21 5 011,Bhuji
C-JAN-21-008,524 2 04 21 5 012,Bijulikot
C-JAN-21-009,524 2 04 21 5 046,Chanakhu
C-JAN-21-010,524 2 04 21 5 047,Chisapani
C-JAN-21-011,524 2 04 21 5 019,Chuchure
C-JAN-21-012,524 2 04 21 5 050,Dadhuwa
C-JAN-21-013,524 2 04 21 5 006,Deurali
C-JAN-21-014,524 2 04 21 5 033,Dimipokhari
C-JAN-21-015,524 2 04 21 5 051,Doramba
C-JAN-21-016,524 2 04 21 5 013,Duragaun
C-JAN-21-017,524 2 04 21 5 028,Tharpu
C-JAN-21-018,524 2 04 21 5 052,Gelu
C-JAN-21-019,524 2 04 21 5 053,Goshwara
C-JAN-21-020,524 2 04 21 5 014,Gothgaun
C-JAN-21-021,524 2 04 21 5 020,Gumdel
C-JAN-21-022,524 2 04 21 5 034,Gunsi
C-JAN-21-023,524 2 04 21 5 015,Gupteshwar
C-JAN-21-024,524 2 04 21 5 035,Hiledevi
C-JAN-21-025,524 2 04 21 5 007,Himganga
C-JAN-21-026,524 2 04 21 5 002,Kathjor
C-JAN-21-027,524 2 04 21 5 038,Khandadevi
C-JAN-21-028,524 2 04 21 5 036,Khaniyapani
C-JAN-21-029,524 2 04 21 5 025,Khimti
C-JAN-21-030,524 2 04 21 5 021,Kunbhukasthali
C-JAN-21-031,524 2 04 21 5 037,Lakhanpur
C-JAN-21-032,524 2 04 21 5 040,Majhuwa
C-JAN-21-033,524 2 04 21 5 039,Makadhum
C-JAN-21-034,524 2 04 21 5 031,Bhaluwajor
C-JAN-21-035,524 2 04 21 5 030,Manthali
C-JAN-21-036,524 2 04 21 5 026,Nagdaha
C-JAN-21-037,524 2 04 21 5 027,Namadi
C-JAN-21-038,524 2 04 21 5 005,Okhreni
C-JAN-21-039,524 2 04 21 5 041,Pakarbas
C-JAN-21-040,524 2 04 21 5 054,Phulasi
C-JAN-21-041,524 2 04 21 5 048,Pingkhuri
C-JAN-21-042,524 2 04 21 5 016,Priti
C-JAN-21-043,524 2 04 21 5 049,Puranagaun
C-JAN-21-044,524 2 04 21 5 042,Rakathum
C-JAN-21-045,524 2 04 21 5 001,Ramechhap
C-JAN-21-046,524 2 04 21 5 008,Rampur
C-JAN-21-047,524 2 04 21 5 022,Rasanalu
C-JAN-21-048,524 2 04 21 5 017,Saipu
C-JAN-21-049,524 2 04 21 5 003,Salu
C-JAN-21-050,524 2 04 21 5 009,Sandhutar
C-JAN-21-051,524 2 04 21 5 010,Sukajor
C-JAN-21-052,524 2 04 21 5 004,Sunarpani
C-JAN-21-053,524 2 04 21 5 023,Those
C-JAN-21-054,524 2 04 21 5 029,Tilpung
C-JAN-21-055,524 2 04 21 5 055,Thokarpur
C-JAN-22-001,524 2 04 22 5 029,Alambu
C-JAN-22-002,524 2 04 22 5 034,Babare
C-JAN-22-003,524 2 04 22 5 024,Bhedpu
C-JAN-22-004,524 2 04 22 3 001,Bhimeswor Municipality
C-JAN-22-005,524 2 04 22 5 001,Bhirkot
C-JAN-22-006,524 2 04 22 5 047,Bhusaphedi
C-JAN-22-007,524 2 04 22 5 039,Bigu
C-JAN-22-008,524 2 04 22 5 028,Boch
C-JAN-22-009,524 2 04 22 5 051,Bulung
C-JAN-22-010,524 2 04 22 5 008,Changkhu
C-JAN-22-011,524 2 04 22 5 031,Chhetrapa
C-JAN-22-012,524 2 04 22 5 040,Chilangkha
C-JAN-22-013,524 2 04 22 5 014,Chyama
C-JAN-22-014,524 2 04 22 5 025,Dandakharka
C-JAN-22-015,524 2 04 22 5 044,Dodhapokhari
C-JAN-22-016,524 2 04 22 5 048,Phasku
C-JAN-22-017,524 2 04 22 5 002,Gairimudi
C-JAN-22-018,524 2 04 22 5 021,Gaurishankar
C-JAN-22-019,524 2 04 22 5 026,Ghyangsukathokar
C-JAN-22-020,524 2 04 22 5 015,Hawa
C-JAN-22-021,524 2 04 22 5 016,Japhe
C-JAN-22-022,524 2 04 22 5 017,Jhule
C-JAN-22-023,524 2 04 22 5 009,Jhyanku
C-JAN-22-024,524 2 04 22 5 003,Jiri
C-JAN-22-025,524 2 04 22 5 010,Jungu
C-JAN-22-026,524 2 04 22 5 011,Kabre
C-JAN-22-027,524 2 04 22 5 041,Kalinchok
C-JAN-22-028,524 2 04 22 5 045,Katakuti
C-JAN-22-029,524 2 04 22 5 022,Khare
C-JAN-22-030,524 2 04 22 5 042,Khopachagu
C-JAN-22-031,524 2 04 22 5 043,Laduk
C-JAN-22-032,524 2 04 22 5 030,Lakuridanda
C-JAN-22-033,524 2 04 22 5 027,Lamabagar
C-JAN-22-034,524 2 04 22 5 035,Lamidanda
C-JAN-22-035,524 2 04 22 5 036,Lapilang
C-JAN-22-036,524 2 04 22 5 046,Magapauwa
C-JAN-22-037,524 2 04 22 5 032,Mali
C-JAN-22-038,524 2 04 22 5 013,Malu
C-JAN-22-039,524 2 04 22 5 023,Marbu
C-JAN-22-040,524 2 04 22 5 019,Melung
C-JAN-22-041,524 2 04 22 5 004,Mirge
C-JAN-22-042,524 2 04 22 5 005,Namdru
C-JAN-22-043,524 2 04 22 5 049,Worang
C-JAN-22-044,524 2 04 22 5 020,Pawati
C-JAN-22-045,524 2 04 22 5 018,Shahare
C-JAN-22-046,524 2 04 22 5 050,Sailungeshwar
C-JAN-22-047,524 2 04 22 5 038,Sunkhani
C-JAN-22-048,524 2 04 22 5 037,Sundrawati
C-JAN-22-049,524 2 04 22 5 012,Suri
C-JAN-22-050,524 2 04 22 5 033,Suspa Kshyamawati
C-JAN-22-051,524 2 04 22 5 006,Syama
C-JAN-22-052,524 2 04 22 5 007,Thulo Pataal
C-NAR-31-001,524 2 06 31 5 032,Agra
C-NAR-31-002,524 2 06 31 5 004,Ambhanjyang
C-NAR-31-003,524 2 06 31 5 035,Bajrabarahi
C-NAR-31-004,524 2 06 31 5 016,Basamadi
C-NAR-31-005,524 2 06 31 5 013,Beteni
C-NAR-31-006,524 2 06 31 5 027,Bhainse
C-NAR-31-007,524 2 06 31 5 024,Bhartapunyadevi
C-NAR-31-008,524 2 06 31 5 038,Bhimphedi
C-NAR-31-009,524 2 06 31 5 015,Budhichaur
C-NAR-31-010,524 2 06 31 5 036,Chitlang
C-NAR-31-011,524 2 06 31 5 005,Churemai
C-NAR-31-012,524 2 06 31 5 030,Daman
C-NAR-31-013,524 2 06 31 5 028,Dandakharka
C-NAR-31-014,524 2 06 31 5 010,Dhiyal
C-NAR-31-015,524 2 06 31 5 040,Phakhel
C-NAR-31-016,524 2 06 31 5 012,Phaparbari
C-NAR-31-017,524 2 06 31 5 031,Gomane
C-NAR-31-018,524 2 06 31 5 017,Handikhola
C-NAR-31-019,524 2 06 31 5 006,Hatiya
C-NAR-31-020,524 2 06 31 3 001,Hetauda Municipality
C-NAR-31-021,524 2 06 31 5 009,Harnamadi
C-NAR-31-022,524 2 06 31 5 043,Ipa Panchakanya
C-NAR-31-023,524 2 06 31 5 025,Kalikatar
C-NAR-31-024,524 2 06 31 5 020,Kangkada
C-NAR-31-025,524 2 06 31 5 023,Khairang
C-NAR-31-026,524 2 06 31 5 042,Kagate
C-NAR-31-027,524 2 06 31 5 037,Kulekhani
C-NAR-31-028,524 2 06 31 5 007,Makawanpur Gadhi
C-NAR-31-029,524 2 06 31 5 021,Manahari
C-NAR-31-030,524 2 06 31 5 002,Manthali
C-NAR-31-031,524 2 06 31 5 034,Markhu
C-NAR-31-032,524 2 06 31 5 026,Namtar
C-NAR-31-033,524 2 06 31 5 039,Nibuwatar
C-NAR-31-034,524 2 06 31 5 022,Padampokhari
C-NAR-31-035,524 2 06 31 5 029,Palung
C-NAR-31-036,524 2 06 31 5 011,Raigaun
C-NAR-31-037,524 2 06 31 5 019,Raksirang
C-NAR-31-038,524 2 06 31 5 018,Sarikhetpalase
C-NAR-31-039,524 2 06 31 5 014,Shikharpur
C-NAR-31-040,524 2 06 31 5 008,Shripur Chhatiwan
C-NAR-31-041,524 2 06 31 5 041,Sisneri
C-NAR-31-042,524 2 06 31 5 003,Sukaura
C-NAR-31-043,524 2 06 31 5 001,Thingan
C-NAR-31-044,524 2 06 31 5 033,Tistung
C-NAR-31-045,524 2 06 31 9 001,Parsa Wildlife Reserve
C-NAR-32-001,524 2 06 32 5 046,Ajgaibi
C-NAR-32-002,524 2 06 32 5 035,Akolawa
C-NAR-32-003,524 2 06 32 5 027,Auraiya
C-NAR-32-004,524 2 06 32 5 007,Badaharwa
C-NAR-32-005,524 2 06 32 5 071,Bagahi
C-NAR-32-006,524 2 06 32 5 082,Madanpur
C-NAR-32-007,524 2 06 32 5 032,Bairiya
C-NAR-32-008,524 2 06 32 5 026,Banjaraha
C-NAR-32-009,524 2 06 32 5 077,Bariyapur
C-NAR-32-010,524 2 06 32 5 039,Basantapatti
C-NAR-32-011,524 2 06 32 5 006,Basatpur
C-NAR-32-012,524 2 06 32 5 085,Basabiti Jigreya
C-NAR-32-013,524 2 06 32 5 015,Pipra Bhalohiya
C-NAR-32-014,524 2 06 32 5 012,Bhediyahi
C-NAR-32-015,524 2 06 32 5 065,Birtiprastoka
C-NAR-32-016,524 2 06 32 5 090,Bishrampur
C-NAR-32-017,524 2 06 32 5 022,Bisunpurwamanpur
C-NAR-32-018,524 2 06 32 5 002,Bramhapuri
C-NAR-32-019,524 2 06 32 5 094,Chandranigahapur
C-NAR-32-020,524 2 06 32 5 048,Daewahi
C-NAR-32-021,524 2 06 32 5 076,Dharmapur
C-NAR-32-022,524 2 06 32 5 069,Dharahari
C-NAR-32-023,524 2 06 32 5 020,Depahi
C-NAR-32-024,524 2 06 32 5 092,Dumariya Matiyon
C-NAR-32-025,524 2 06 32 5 031,Dumariya (Paroha)
C-NAR-32-026,524 2 06 32 5 034,Phatuha Maheshpur
C-NAR-32-027,524 2 06 32 5 057,Phatuha Harsaha
C-NAR-32-028,524 2 06 32 5 025,Gaddhi
C-NAR-32-029,524 2 06 32 5 086,Gamhariya Birta
C-NAR-32-030,524 2 06 32 5 081,Gamhariya Parsa
C-NAR-32-031,524 2 06 32 5 014,Gangapipra
C-NAR-32-032,524 2 06 32 5 079,Garuda 
C-NAR-32-033,524 2 06 32 3 001,Gaur Municipality
C-NAR-32-034,524 2 06 32 5 078,Gedahiguthi
C-NAR-32-035,524 2 06 32 5 089,Hardiyapaltuwa
C-NAR-32-036,524 2 06 32 5 005,Hajmaniya
C-NAR-32-037,524 2 06 32 5 063,Hathiyahi
C-NAR-32-038,524 2 06 32 5 050,Inarbari Jyutahi
C-NAR-32-039,524 2 06 32 5 047,Inarawa
C-NAR-32-040,524 2 06 32 5 030,Jatahara
C-NAR-32-041,524 2 06 32 5 021,Jayanagar
C-NAR-32-042,524 2 06 32 5 016,Jethahiya
C-NAR-32-043,524 2 06 32 5 008,Jhunkhunma
C-NAR-32-044,524 2 06 32 5 041,Jhingadawa Belbichhwa
C-NAR-32-045,524 2 06 32 5 029,Jokaha
C-NAR-32-046,524 2 06 32 5 095,Judibela
C-NAR-32-047,524 2 06 32 5 059,Kanakpur
C-NAR-32-048,524 2 06 32 5 067,Karkach
C-NAR-32-049,524 2 06 32 5 049,Karuniya
C-NAR-32-050,524 2 06 32 5 066,Katahariya
C-NAR-32-051,524 2 06 32 5 019,Khesarahiya
C-NAR-32-052,524 2 06 32 5 058,Lakshminiya
C-NAR-32-053,524 2 06 32 5 062,Lakshmipur
C-NAR-32-054,524 2 06 32 5 001,Lakshmipur Belbichhwa
C-NAR-32-055,524 2 06 32 5 040,Laukaha
C-NAR-32-056,524 2 06 32 5 023,Madhopur
C-NAR-32-057,524 2 06 32 5 075,Mahamadpur
